Jimmy Arias,Tomas Smid,0.85,Mark Cox,0.51,Jaime Fillol,0.49,[]
David Skoch,Stephen Warboys,1.0,Gouichi Motomura,1.0,Frederic Vitoux,1.0,[]
Magnus Larsson,Onny Parun,0.93,Renzo Furlan,0.88,Arnaud Clement,0.87,[]
Tatsuma Ito,Nicolas Devilder,0.94,Jerome Haehnel,0.84,Santiago Ventura,0.82,"[115.0, 115.0, 73.0]"
Bruno Oresar,Roger Dowdeswell,0.74,Marc Gicquel,0.63,Somdev Devvarman,0.57,[]
Andreas Seppi,Radek Stepanek,0.89,Emilio Sanchez,0.84,Dominik Hrbaty,0.79,"[115.0, 44.0, 68.0]"
Ulrich Marten,Shane Barr,1.0,Ney Keller,1.0,Mike Belkin,1.0,[]
Tom Edlefsen,Stefan Simonsson,0.93,Thiago Alves,0.9,Wayne Odesnik,0.8,[]
Leonardo Lavalle,Shuzo Matsuoka,0.87,Andreas Haider Maurer,0.83,Gerald Battrick,0.75,[]
Bud Schultz,Tom Gullikson,0.88,Billy Martin,0.74,Sargis Sargsian,0.64,[]
Nuno Marques,Ricardo Acuna,0.98,Jose Lopez Maeso,0.82,Marco Chiudinelli,0.81,[]
Mario Radic,Vadim Kutsenko,1.0,Allen Belobrajdic,1.0,Sebastian Decoud,0.99,[]
Richard Gasquet,Nick Kyrgios,1.0,Andrei Medvedev,0.9,Robert Lutz,0.82,"[65.0, 46.0, 34.0]"
Claudio Panatta,Denis Gremelmayr,0.89,Claudio Mezzadri,0.89,Haroon Ismail,0.85,[]
Antonio Munoz,Robert Kreiss,0.92,Ramon Delgado,0.91,Jose Mandarino,0.86,[]
Pender Murphy,Tim Garcia,1.0,Thomas Larsen,1.0,Sasa Tuksar,1.0,[]
Pavel Slozil,David Sanchez,0.94,Slava Dosedel,0.78,Marinko Matosevic,0.74,[]
Ze Zhang,Miguel Mir,1.0,Mark Draper,1.0,Jaroslav Bulant,1.0,[]
Sebastien De Chaunac,Yong Il Yoon,1.0,Jean Baptiste Perlant,1.0,Jason Kubler,1.0,[]
Ney Keller,Ulrich Marten,1.0,Shane Barr,1.0,Mike Belkin,1.0,[]
Jonas Svensson,Jakob Hlasek,0.87,Andrei Medvedev,0.79,Nick Kyrgios,0.69,[]
Matt Anger,Francesco Cancellotti,0.66,Peter Feigl,0.56,Sammy Giammalva Jr,0.55,[]
Paolo Bertolucci,Thomaz Bellucci,0.57,Andrew Pattison,0.25,Libor Pimek,0.24,[]
Olivier Mutis,Erick Iskersky,0.9,Pascal Portes,0.87,Lars Koslowski,0.84,[]
Tony Roche,Alberto Berasategui,0.65,Tomas Smid,0.55,Mark Cox,0.54,[]
Dan Cassidy,Mauricio Hadad,0.98,Lito Alvarez,0.98,Maximo Gonzalez,0.97,[]
Christophe Roger Vasselin,Tomas Zib,0.89,Eric Fromm,0.85,Josef Cihak,0.71,[]
Pablo Carreno Busta,Martin Verkerk,0.35,Filippo Volandri,0.32,Bud Schultz,0.3,"[69.0, 88.0, 71.0]"
Martin Mulligan,Maximo Gonzalez,0.96,Grant Stafford,0.88,Jiri Vanek,0.85,[]
Pat Cash,Tim Mayotte,0.2,Guillermo Perez Roldan,0.18,Jan Kodes,0.17,[]
Emilio Montano,Paul Wekesa,0.96,Chris Wilkinson,0.96,Tommy Ho,0.88,[]
Bruce Kleege,Sergei Bubka,1.0,Rick Leach,1.0,Mark Meyers,1.0,[]
Gilles Muller,Patrick Proisy,0.94,Pablo Carreno Busta,0.93,David Sanchez,0.9,"[71.0, 100.0, 64.0]"
Roberto Carretero,Bernard Boileau,0.92,Kristian Pless,0.82,Alex Calatrava,0.78,[]
Marc Lopez,Ilija Bozoljac,0.99,Johan Anderson,0.98,Gilles Elseneer,0.95,[]
Augustin Gensse,Sebastian Decoud,1.0,Robert Smeets,1.0,Daniel Evans,1.0,[]
Andrej Martin,Stephane Bohli,1.0,Marc Lopez,0.98,Facundo Bagnis,0.97,"[128.0, 147.0, 136.0]"
Juan Avendano,Stephane Bohli,0.95,Federico Browne,0.89,Chris Pridham,0.87,[]
Henry Bunis,Hugo Armando,0.91,Massimo Cierro,0.85,Roberto Carballes Baena,0.84,[]
Hans Schwaier,Mischa Zverev,0.97,Byron Bertram,0.81,Jeremy Bates,0.67,[]
Joakim Nystrom,Marty Riessen,0.77,Juan Monaco,0.56,Andrei Chesnokov,0.49,[]
Ruben Bemelmans,Marco Chiudinelli,0.92,Konstantinos Economidis,0.88,Jose Lopez Maeso,0.88,"[117.0, 146.0, 173.0]"
Renzo Furlan,Magnus Larsson,0.93,Todd Woodbridge,0.92,Taylor Dent,0.88,[]
Terry Moor,Mike Bauer,0.59,Renzo Furlan,0.38,Robert Maud,0.37,[]
Ramiro Benavides,Alex Bogdanovic,0.98,Peter Kanderal,0.86,Marcelo Charpentier,0.86,[]
Wade Mcguire,Tsung Hua Yang,1.0,Roger Knapp,1.0,Reginald Willems,1.0,[]
Hugo Armando,Alex Bogdanovic,0.99,Roberto Carballes Baena,0.92,Henry Bunis,0.91,[]
Peter Gojowczyk,Alejandro Pierola,0.95,Flavio Cipolla,0.93,Ruben Ramirez Hidalgo,0.92,[]
Alexander Waske,Nicolas Pereira,0.99,Steve Bryan,0.8,Francisco Roig,0.8,[]
Diego Sebastian Schwartzman,Christophe Rochus,0.9,Ulrich Pinner,0.82,Oscar Hernandez,0.78,"[78.0, 69.0, 86.0]"
David Pate,Gilbert Schaller,0.18,Jim Grabb,0.12,Geoff Masters,0.1,[]
Milan Holecek,Mikhail Kukushkin,0.94,Antony Dupuis,0.92,Dudi Sela,0.9,[]
Dick Crealy,Jose Acasuso,0.7,Terry Moor,0.45,Ernests Gulbis,0.39,[]
Adrian Menendez Maceiras,Oleg Ogorodov,0.93,George Hardie,0.83,Giovanni Lapentti,0.82,"[132.0, 148.0, 166.0]"
Terry Addison,Corrado Aprili,1.0,Nicholas Kalogeropoulos,0.99,Mark Vines,0.98,[]
Roy Emerson,Cassio Motta,0.96,Jordi Burillo,0.92,Markus Hantschk,0.9,[]
Lars Rehmann,Rick Fisher,0.92,Bernard Mignot,0.92,Lorenzo Manta,0.91,[]
Bruno Echagaray,David Dowlen,1.0,Cesar Kist,1.0,Adam Pavlasek,1.0,[]
Giovanni Lapentti,Josselin Ouanna,0.93,Oleg Ogorodov,0.88,Mark Farrell,0.88,[]
Francisco Yunis,Evgeny Donskoy,0.88,Julian Ganzabal,0.83,Eddie Edwards,0.82,[]
